Nx,Ny,shift,p_x,p_left,p_diag,x_length,left_length,diag_length,left_over_diag,triangle_slack
32,36,14,32,576,576,1.0,0.05555555555555555,0.05555555555555555,1.0,-0.8888888888888888
32,36,15,32,1152,1152,1.0,0.027777777777777776,0.027777777777777776,1.0,-0.9444444444444444
32,36,16,32,72,288,1.0,0.4444444444444444,0.1111111111111111,4.0,-0.4444444444444444
32,36,17,32,1152,1152,1.0,0.027777777777777776,0.027777777777777776,1.0,-0.9444444444444444
32,36,18,32,576,576,1.0,0.05555555555555555,0.05555555555555555,1.0,-0.8888888888888888
32,36,19,32,1152,1152,1.0,0.027777777777777776,0.027777777777777776,1.0,-0.9444444444444444
32,36,20,32,288,144,1.0,0.1111111111111111,0.2222222222222222,0.5,-0.6666666666666667
32,36,21,32,1152,1152,1.0,0.027777777777777776,0.027777777777777776,1.0,-0.9444444444444444
32,36,22,32,576,576,1.0,0.05555555555555555,0.05555555555555555,1.0,-0.8888888888888888
32,36,23,32,1152,1152,1.0,0.027777777777777776,0.027777777777777776,1.0,-0.9444444444444444
32,36,24,32,144,288,1.0,0.2222222222222222,0.1111111111111111,2.0,-0.6666666666666667
32,36,25,32,1152,1152,1.0,0.027777777777777776,0.027777777777777776,1.0,-0.9444444444444444
32,36,26,32,576,576,1.0,0.05555555555555555,0.05555555555555555,1.0,-0.8888888888888888
32,36,27,32,1152,1152,1.0,0.027777777777777776,0.027777777777777776,1.0,-0.9444444444444444
32,36,28,32,288,36,1.0,0.1111111111111111,0.8888888888888888,0.125,0.0
32,36,29,32,1152,1152,1.0,0.027777777777777776,0.027777777777777776,1.0,-0.9444444444444444
32,36,30,32,576,576,1.0,0.05555555555555555,0.05555555555555555,1.0,-0.8888888888888888
32,36,31,32,1152,1152,1.0,0.027777777777777776,0.027777777777777776,1.0,-0.9444444444444444
32,36,32,32,36,288,1.0,0.8888888888888888,0.1111111111111111,8.0,0.0
32,37,0,32,37,1184,1.0,0.8648648648648649,0.02702702702702703,32.0,-0.10810810810810811
32,37,1,32,1184,592,1.0,0.02702702702702703,0.05405405405405406,0.5,-0.9189189189189189
32,37,2,32,592,1184,1.0,0.05405405405405406,0.02702702702702703,2.0,-0.9189189189189189
32,37,3,32,1184,148,1.0,0.02702702702702703,0.21621621621621623,0.125,-0.7567567567567568
32,37,4,32,296,1184,1.0,0.10810810810810811,0.02702702702702703,4.0,-0.8648648648648649
32,37,5,32,1184,592,1.0,0.02702702702702703,0.05405405405405406,0.5,-0.9189189189189189
32,37,6,32,592,1184,1.0,0.05405405405405406,0.02702702702702703,2.0,-0.9189189189189189
32,37,7,32,1184,296,1.0,0.02702702702702703,0.10810810810810811,0.25,-0.8648648648648649
32,37,8,32,148,1184,1.0,0.21621621621621623,0.02702702702702703,8.0,-0.7567567567567568
32,37,9,32,1184,592,1.0,0.02702702702702703,0.05405405405405406,0.5,-0.9189189189189189
32,37,10,32,592,1184,1.0,0.05405405405405406,0.02702702702702703,2.0,-0.9189189189189189
32,37,11,32,1184,74,1.0,0.02702702702702703,0.43243243243243246,0.0625,-0.5405405405405406
32,37,12,32,296,1184,1.0,0.10810810810810811,0.02702702702702703,4.0,-0.8648648648648649
32,37,13,32,1184,592,1.0,0.02702702702702703,0.05405405405405406,0.5,-0.9189189189189189
32,37,14,32,592,1184,1.0,0.05405405405405406,0.02702702702702703,2.0,-0.9189189189189189
32,37,15,32,1184,296,1.0,0.02702702702702703,0.10810810810810811,0.25,-0.8648648648648649
32,37,16,32,74,1184,1.0,0.43243243243243246,0.02702702702702703,16.0,-0.5405405405405406
32,37,17,32,1184,592,1.0,0.02702702702702703,0.05405405405405406,0.5,-0.9189189189189189
32,37,18,32,592,1184,1.0,0.05405405405405406,0.02702702702702703,2.0,-0.9189189189189189
