# Equal-time spatial all-to-all average over all time slices.
# d m n corr err corr_conn err_conn
110 3 -17 2.0719570312499999e-01 2.1891519040360594e-03 2.0719350381282806e-01 2.1895642396138650e-03
111 3 -16 2.0850117187500000e-01 2.1716952412366556e-03 2.0849897256282807e-01 2.1721045324880365e-03
112 3 -15 2.1072070312499999e-01 2.1363930209583135e-03 2.1071850381282806e-01 2.1367996040770579e-03
113 3 -14 2.1435703125000000e-01 2.0932537435299730e-03 2.1435483193782806e-01 2.0936576329226892e-03
114 3 -13 2.1927421875000000e-01 2.0356017050731654e-03 2.1927201943782806e-01 2.0360093907279557e-03
115 3 -12 2.2582421875000000e-01 1.9720820942749971e-03 2.2582201943782806e-01 1.9724922962133019e-03
116 3 -11 2.3398632812500000e-01 1.9014572176096363e-03 2.3398412881282807e-01 1.9018821372027820e-03
117 3 -10 2.4411367187499999e-01 1.8223345597516954e-03 2.4411147256282806e-01 1.8227680574180052e-03
118 3 -9 2.5688085937499999e-01 1.7338040206623178e-03 2.5687866006282806e-01 1.7342282973070076e-03
119 3 -8 2.7232617187500002e-01 1.6351338349841380e-03 2.7232397256282809e-01 1.6355497093618722e-03
120 3 -7 2.9098437500000002e-01 1.5264806024922670e-03 2.9098217568782808e-01 1.5268990831573813e-03
121 3 -6 3.1346562500000003e-01 1.4081865421180328e-03 3.1346342568782809e-01 1.4085803399605413e-03
122 3 -5 3.3991171874999998e-01 1.2820627288706585e-03 3.3990951943782804e-01 1.2824795108560478e-03
123 3 -4 3.7022109375000001e-01 1.1536308307638825e-03 3.7021889443782807e-01 1.1540318953562789e-03
124 3 -3 4.0095625000000001e-01 1.0415636258150974e-03 4.0095405068782808e-01 1.0419597645336608e-03
125 3 -2 4.2283203125000002e-01 9.7168718590071501e-04 4.2282983193782808e-01 9.7207132189227469e-04
126 3 -1 4.2263203124999998e-01 9.7188712182829393e-04 4.2262983193782805e-01 9.7227768146495512e-04
127 3 0 4.0112773437499999e-01 1.0446270702049862e-03 4.0112553506282805e-01 1.0450074349896430e-03
128 4 -31 3.3276250000000002e-01 1.3132776226898147e-03 3.3276030068782808e-01 1.3136672768082015e-03
129 4 -30 3.1144765624999998e-01 1.4153278090491518e-03 3.1144545693782805e-01 1.4157007167482003e-03
130 4 -29 2.9161250000000000e-01 1.5186322715108550e-03 2.9161030068782806e-01 1.5189908399123131e-03
131 4 -28 2.7428281249999997e-01 1.6194906281838718e-03 2.7428061318782804e-01 1.6198362269123653e-03
132 4 -27 2.5936562499999999e-01 1.7122705076896892e-03 2.5936342568782805e-01 1.7126207423565803e-03
133 4 -26 2.4650664062500000e-01 1.8003334277051225e-03 2.4650444131282806e-01 1.8006948349662539e-03
134 4 -25 2.3628320312500001e-01 1.8801424710081023e-03 2.3628100381282807e-01 1.8805198990997712e-03
135 4 -24 2.2780156250000000e-01 1.9548289380408590e-03 2.2779936318782806e-01 1.9551917274022237e-03
136 4 -23 2.2103203125000001e-01 2.0148704492311802e-03 2.2102983193782808e-01 2.0152355340709231e-03
137 4 -22 2.1582539062500000e-01 2.0690386515565947e-03 2.1582319131282807e-01 2.0694308900482124e-03
138 4 -21 2.1150351562500000e-01 2.1143348459515712e-03 2.1150131631282806e-01 2.1147366082959335e-03
139 4 -20 2.0854335937499999e-01 2.1497960383665559e-03 2.0854116006282805e-01 2.1501826321458474e-03
140 4 -19 2.0681757812500001e-01 2.1696778552845763e-03 2.0681537881282808e-01 2.1700719618939469e-03
141 4 -18 2.0626015624999999e-01 2.1764282564572099e-03 2.0625795693782806e-01 2.1768268838623802e-03
142 4 -17 2.0716054687499999e-01 2.1656431799064158e-03 2.0715834756282805e-01 2.1660500842608766e-03
143 4 -16 2.0856210937500000e-01 2.1439761613652143e-03 2.0855991006282806e-01 2.1443910522979432e-03
144 4 -15 2.1157187499999999e-01 2.1122864117476838e-03 2.1156967568782806e-01 2.1126873500197851e-03
145 4 -14 2.1522656250000000e-01 2.0656026157661028e-03 2.1522436318782806e-01 2.0659960538973298e-03
146 4 -13 2.2013984375000001e-01 2.0123827053448347e-03 2.2013764443782807e-01 2.0128013429173601e-03
147 4 -12 2.2717851562499999e-01 1.9535526214339107e-03 2.2717631631282806e-01 1.9539927707377283e-03
148 4 -11 2.3573789062500000e-01 1.8843301264957544e-03 2.3573569131282807e-01 1.8847848387991304e-03
149 4 -10 2.4637734375000001e-01 1.8079701312644614e-03 2.4637514443782807e-01 1.8084190024387245e-03
150 4 -9 2.5891289062500000e-01 1.7205246276556193e-03 2.5891069131282807e-01 1.7209789195172501e-03
151 4 -8 2.7354843750000002e-01 1.6273223683634936e-03 2.7354623818782808e-01 1.6277610545478354e-03
152 4 -7 2.9099218750000000e-01 1.5243020203259989e-03 2.9098998818782806e-01 1.5247336683372739e-03
153 4 -6 3.1093828125000000e-01 1.4200128173034753e-03 3.1093608193782807e-01 1.4204599801020304e-03
154 4 -5 3.3251562499999998e-01 1.3145776338690507e-03 3.3251342568782805e-01 1.3149868413501211e-03
155 4 -4 3.5389648437499999e-01 1.2215626934575414e-03 3.5389428506282805e-01 1.2220032696104394e-03
156 4 -3 3.7072812500000002e-01 1.1570978726176987e-03 3.7072592568782808e-01 1.1575295083161680e-03
157 4 -2 3.7708906250000002e-01 1.1320073842592973e-03 3.7708686318782808e-01 1.1324362678279084e-03
158 4 -1 3.7056796874999998e-01 1.1563879528926340e-03 3.7056576943782804e-01 1.1567932528685873e-03
159 4 0 3.5399882812500000e-01 1.2228865462460623e-03 3.5399662881282806e-01 1.2232599688963375e-03
160 5 -31 3.0419335937500003e-01 1.4543398912468327e-03 3.0419116006282809e-01 1.4547117026436913e-03
161 5 -30 2.8833867187500001e-01 1.5408137462377118e-03 2.8833647256282807e-01 1.5411839724723023e-03
162 5 -29 2.7342812500000002e-01 1.6256887035168161e-03 2.7342592568782809e-01 1.6260481538007371e-03
163 5 -28 2.5966992187499999e-01 1.7117230287513202e-03 2.5966772256282805e-01 1.7120689029023045e-03
164 5 -27 2.4747382812499999e-01 1.7916961200033161e-03 2.4747162881282805e-01 1.7920541352234145e-03
