# Equal-time spatial all-to-all average over all time slices.
# d m n corr err corr_conn err_conn
220 13 -3 3.0104843749999999e-01 2.3620047306074790e-03 3.0104522276306150e-01 2.3623927767352638e-03
221 13 -2 3.2099843750000001e-01 2.2064396208682233e-03 3.2099522276306153e-01 2.2068111722929424e-03
222 13 -1 3.4668281249999999e-01 2.0292518339563559e-03 3.4667959776306151e-01 2.0295723413004223e-03
223 13 0 3.7442500000000001e-01 1.8551570182871319e-03 3.7442178526306152e-01 1.8554268507519540e-03
224 14 -15 4.6926250000000003e-01 1.3878388887943720e-03 4.6925928526306154e-01 1.3882351762297173e-03
225 14 -14 4.4358437499999998e-01 1.5027088791864970e-03 4.4358116026306149e-01 1.5030377113976077e-03
226 14 -13 3.9417968749999999e-01 1.7450092321987828e-03 3.9417647276306150e-01 1.7453567436457071e-03
227 14 -12 3.5120937499999999e-01 1.9948094831395398e-03 3.5120616026306151e-01 1.9952276849707724e-03
228 14 -11 3.1975156249999998e-01 2.2190707910152642e-03 3.1974834776306149e-01 2.2194512306113446e-03
229 14 -10 2.9799218750000001e-01 2.4030304544450185e-03 2.9798897276306152e-01 2.4033936873540354e-03
230 14 -9 2.8413593749999999e-01 2.5408622751574633e-03 2.8413272276306151e-01 2.5411842590160865e-03
231 14 -8 2.7612031250000002e-01 2.6348351795859992e-03 2.7611709776306154e-01 2.6352113720726471e-03
232 14 -7 2.7371718750000001e-01 2.6653954674311902e-03 2.7371397276306153e-01 2.6657708475852173e-03
233 14 -6 2.7736562500000000e-01 2.6271865801934277e-03 2.7736241026306152e-01 2.6275890963142869e-03
234 14 -5 2.8564062499999998e-01 2.5308604976170533e-03 2.8563741026306150e-01 2.5312714576980725e-03
235 14 -4 2.9963593750000000e-01 2.3924986382714746e-03 2.9963272276306152e-01 2.3929074006362422e-03
236 14 -3 3.2149687500000002e-01 2.2031230848839189e-03 3.2149366026306153e-01 2.2035464061827595e-03
237 14 -2 3.5307968750000002e-01 1.9876681065280951e-03 3.5307647276306153e-01 1.9880732954288484e-03
238 14 -1 3.9517187500000001e-01 1.7433391583104065e-03 3.9516866026306152e-01 1.7437210979923275e-03
239 14 0 4.4407031250000001e-01 1.4969033771285920e-03 4.4406709776306152e-01 1.4972234002260680e-03
240 15 -15 5.8265624999999999e-01 9.9684928454293106e-04 5.8265303526306156e-01 9.9720985423492649e-04
241 15 -14 4.7003750000000000e-01 1.3913271598100141e-03 4.7003428526306151e-01 1.3916265197033519e-03
242 15 -13 3.9410624999999999e-01 1.7451184717573623e-03 3.9410303526306151e-01 1.7455397577309031e-03
243 15 -12 3.4600781250000001e-01 2.0370830894756685e-03 3.4600459776306153e-01 2.0374386099896694e-03
244 15 -11 3.1441249999999998e-01 2.2737473921095545e-03 3.1440928526306150e-01 2.2741258327551028e-03
245 15 -10 2.9398750000000001e-01 2.4599697946570396e-03 2.9398428526306153e-01 2.4603487260084337e-03
246 15 -9 2.8169062499999997e-01 2.6049888508563601e-03 2.8168741026306149e-01 2.6053574044422627e-03
247 15 -8 2.7611406249999998e-01 2.6869169803197977e-03 2.7611084776306150e-01 2.6873021787855176e-03
248 15 -7 2.7618593749999998e-01 2.6829369838165897e-03 2.7618272276306149e-01 2.6833467687936989e-03
249 15 -6 2.8268593749999998e-01 2.5959001554265062e-03 2.8268272276306150e-01 2.5963264218841499e-03
250 15 -5 2.9525468750000000e-01 2.4573905307172859e-03 2.9525147276306152e-01 2.4578040506373824e-03
