lx,ly,theta_deg,lr,err_x,err_y,err_y_minus_x,err_total
1.0,0.21000000000000002,71.0,0.9525551821957583,0.0,0.24999599329000532,0.23023924439985616,0.16007841256328717
1.0,0.21000000000000002,72.0,0.9561970834312987,0.0,0.24999599329000532,0.23007269069155134,0.1600228946605189
1.0,0.21000000000000002,73.0,0.9598457605347073,0.0,0.24999599329000532,0.22990488479346416,0.15996695936115649
1.0,0.21000000000000002,74.0,0.9635000314254589,0.0,0.24999599329000532,0.22973588724627889,0.1599106268454281
1.0,0.21000000000000002,75.0,0.9671587258857469,0.0,0.24999599329000532,0.22956575925632525,0.15985391751544353
1.0,0.21000000000000002,76.0,0.9708206857335394,0.0,0.24999599329000532,0.22939456264127275,0.1597968519770927
1.0,0.21000000000000002,77.0,0.9744847649786921,0.0,0.24999599329000532,0.22922235977618835,0.15973945102206455
1.0,0.21000000000000002,78.0,0.9781498299629464,0.0,0.24999599329000532,0.22904921354006053,0.15968173561002194
1.0,0.21000000000000002,79.0,0.9818147594846246,0.0,0.24999599329000532,0.22887518726288442,0.15962372685096324
1.0,0.21000000000000002,80.0,0.9854784449088114,0.0,0.24999599329000532,0.22870034467339773,0.159565445987801
1.0,0.21000000000000002,81.0,0.9891397902637943,0.0,0.24999599329000532,0.2285247498475487,0.15950691437918466
1.0,0.21000000000000002,82.0,0.992797712324506,0.0,0.24999599329000532,0.22834846715777138,0.15944815348259223
1.0,0.21000000000000002,83.0,0.9964511406836956,0.0,0.24999599329000532,0.2281715612231375,0.15938918483771428
1.0,0.21000000000000002,84.0,1.0000990178115292,0.0,0.24999599329000532,0.2279940968604465,0.1593300300501506
1.0,0.21000000000000002,85.0,1.003740299104297,0.0,0.24999599329000532,0.22781613903631157,0.15927071077543897
1.0,0.21000000000000002,86.0,1.0073739529228793,0.0,0.24999599329000532,0.22763775282029056,0.15921124870343195
1.0,0.21000000000000002,87.0,1.010998960621604,0.0,0.24999599329000532,0.22745900333910796,0.15915166554303775
1.0,0.21000000000000002,88.0,1.0146143165680985,0.0,0.24999599329000532,0.2272799557320064,0.15909198300733726
1.0,0.21000000000000002,89.0,1.0182190281547192,0.0,0.24999599329000532,0.22710067510726256,0.1590322227990893
1.0,0.21000000000000002,90.0,1.0218121158021176,0.0,0.24999599329000532,0.22692122649989574,0.1589724065966337
1.0,0.21000000000000002,91.0,1.0253926129554762,0.0,0.24999599329000532,0.22674167483059496,0.15891255604020008
1.0,0.21000000000000002,92.0,1.02895956607393,0.0,0.24999599329000532,0.22656208486588278,0.15885269271862937
1.0,0.21000000000000002,93.0,1.0325120346136583,0.0,0.24999599329000532,0.22638252117953248,0.1587928381565126
1.0,0.21000000000000002,94.0,1.0360490910051188,0.0,0.24999599329000532,0.22620304811525052,0.15873301380175195
1.0,0.21000000000000002,95.0,1.0395698206248662,0.0,0.24999599329000532,0.22602372975063081,0.15867324101354538
1.0,0.21000000000000002,96.0,1.0430733217623842,0.0,0.24999599329000532,0.22584462986238588,0.15861354105079706
1.0,0.21000000000000002,97.0,1.04655870558233,0.0,0.24999599329000532,0.22566581189285578,0.1585539350609537
1.0,0.21000000000000002,98.0,1.050025096082578,0.0,0.24999599329000532,0.22548733891779157,0.15849444406926563
1.0,0.21000000000000002,99.0,1.0534716300484304,0.0,0.24999599329000532,0.2253092736154094,0.15843508896847158
1.0,0.21000000000000002,100.0,1.0568974570033323,0.0,0.24999599329000532,0.22513167823670582,0.15837589050890372
1.0,0.21000000000000002,101.0,1.0603017391564293,0.0,0.24999599329000532,0.22495461457702465,0.15831686928900998
1.0,0.21000000000000002,102.0,1.0636836513472692,0.0,0.24999599329000532,0.2247781439488628,0.15825804574628938
1.0,0.21000000000000002,103.0,1.0670423809879452,0.0,0.24999599329000532,0.22460232715589895,0.15819944014863477
1.0,0.21000000000000002,104.0,1.070377128002958,0.0,0.24999599329000532,0.2244272244682295,0.15814107258607826
1.0,0.21000000000000002,105.0,1.073687104767054,0.0,0.24999599329000532,0.22425289559879208,0.15808296296293248
1.0,0.21000000000000002,106.0,1.076971536041292,0.0,0.24999599329000532,0.22407939968095714,0.1580251309903208
1.0,0.21000000000000002,107.0,1.0802296589075628,0.0,0.24999599329000532,0.22390679524726453,0.15796759617908995
1.0,0.21000000000000002,108.0,1.0834607227017867,0.0,0.24999599329000532,0.2237351402092838,0.1579103778330964
