r1	r2	tau_eff_real	tau_eff_imag	beta_c	alpha	beta_angle	gamma	v4_value	u4_value	w4_value	v4_over_u4_value	w4_over_u4_value	v4_log_residual	u4_log_residual	w4_log_residual	v4_over_u4_log_residual	w4_over_u4_log_residual	v4_chi2	u4_chi2	w4_chi2	v4_over_u4_chi2	w4_over_u4_chi2	corr_score	ratio_score	total_score
5.1730611017	8.8246921720	0.0873810364	0.7474102055	0.0583235224	0.6862031972	1.0009765437	1.4544129128	0.8401344263	0.8856652912	0.8175178277	0.9485913411	0.9230550591	-0.0114945852	-0.0011724658	-0.0079584625	-0.0103221194	-0.0067859967	0.0001321255	0.0000013747	0.0000633371	0.0001065461	0.0000460498	0.0001968373	0.0001525959	0.0003494332
5.1730611017	9.5600831863	0.0802061566	0.7150845536	0.0559646603	0.6608326918	1.0216599734	1.4590999884	0.8315399392	0.8847546537	0.8112641553	0.9398537048	0.9169368614	-0.0217771654	-0.0022011907	-0.0156374560	-0.0195759748	-0.0134362653	0.0004742449	0.0000048452	0.0002445300	0.0003832188	0.0001805332	0.0007236202	0.0005637520	0.0012873722
5.1730611017	10.2954742007	0.0740040396	0.6860592329	0.0538300989	0.6376438340	1.0406053147	1.4633435049	0.8232331307	0.8838734651	0.8049904604	0.9313925162	0.9107530570	-0.0318170657	-0.0031976565	-0.0234007457	-0.0286194092	-0.0202030893	0.0010123257	0.0000102250	0.0005475949	0.0008190706	0.0004081648	0.0015701456	0.0012272354	0.0027973810
5.6433393837	4.4123460860	0.1740570946	1.1187725310	0.0774788720	0.9348524716	0.7902851576	1.4164550244	0.9113164467	0.8913978918	0.8575170069	1.0223453018	0.9619912889	0.0698337033	0.0052793256	0.0398098393	0.0645543777	0.0345305137	0.0048767461	0.0000278713	0.0015848233	0.0041672677	0.0011923564	0.0064894407	0.0053596240	0.0118490647
5.6433393837	5.1477371003	0.1510503345	1.0372383246	0.0725587681	0.8848935157	0.8305136719	1.4261854661	0.8982702444	0.8908184608	0.8520759287	1.0083650978	0.9565090602	0.0554144677	0.0046290892	0.0334444685	0.0507853785	0.0288153793	0.0030707632	0.0000214285	0.0011185325	0.0025791547	0.0008303261	0.0042107242	0.0034094808	0.0076202049
5.6433393837	5.8831281147	0.1330084699	0.9695954995	0.0683763491	0.8412068030	0.8659179618	1.4344678888	0.8866591124	0.8900511049	0.8464797007	0.9961889913	0.9510461770	0.0424040976	0.0037673125	0.0268550484	0.0386367851	0.0230877359	0.0017981075	0.0000141926	0.0007211936	0.0014928012	0.0005330435	0.0025334938	0.0020258447	0.0045593385
5.6433393837	6.6185191290	0.1185015292	0.9123217269	0.0647637864	0.8025794969	0.8973837253	1.4416294314	0.8760933860	0.8891952609	0.8407978393	0.9852654693	0.9455716604	0.0304161947	0.0028052826	0.0201200771	0.0276109121	0.0173147945	0.0009251449	0.0000078696	0.0004048175	0.0007623625	0.0002998021	0.0013378320	0.0010621646	0.0023999966
5.6433393837	7.3539101433	0.1065989686	0.8630294361	0.0616026255	0.7681082283	0.9255828275	1.4479015978	0.8663126849	0.8883040492	0.8350639661	0.9752434268	0.9400654729	0.0191894158	0.0018025123	0.0132771554	0.0173869036	0.0114746431	0.0003682337	0.0000032491	0.0001762829	0.0003023044	0.0001316674	0.0005477656	0.0004339719	0.0009817374
5.6433393837	8.0893011577	0.0966692542	0.8200355205	0.0588064440	0.7371028842	0.9510361120	1.4534536573	0.8571361061	0.8874064750	0.8292947983	0.9658889475	0.9345151536	0.0085402273	0.0007915657	0.0063445264	0.0077486617	0.0055529607	0.0000729355	0.0000006266	0.0000402530	0.0000600418	0.0000308354	0.0001138151	0.0000908771	0.0002046922
5.6433393837	8.8246921720	0.0882688010	0.7821149006	0.0563104502	0.7090251152	0.9741547935	1.4584127449	0.8484340635	0.8865185043	0.8234990027	0.9570404447	0.9289134956	-0.0016641234	-0.0002095711	-0.0006688340	-0.0014545523	-0.0004592629	0.0000027693	0.0000000439	0.0000004473	0.0000021157	0.0000002109	0.0000032606	0.0000023266	0.0000055872
5.6433393837	9.5600831863	0.0810769885	0.7483518300	0.0540649515	0.6834474841	0.9952686489	1.4628765206	0.8401114332	0.8856488473	0.8176814489	0.9485829918	0.9232569448	-0.0115219540	-0.0011910327	-0.0077583387	-0.0103309213	-0.0065673060	0.0001327554	0.0000014186	0.0000601918	0.0001067279	0.0000431295	0.0001943658	0.0001498574	0.0003442232
5.6433393837	10.2954742007	0.0748563892	0.7180462229	0.0520310913	0.6600254458	1.0146457566	1.4669214511	0.8320969877	0.8848020902	0.8118452836	0.9404328910	0.9175444911	-0.0211074899	-0.0021475767	-0.0149213880	-0.0189599132	-0.0127738113	0.0004455261	0.0000046121	0.0002226478	0.0003594783	0.0001631703	0.0006727860	0.0005226486	0.0011954346
6.1136176657	4.4123460860	0.1748117678	1.1674407302	0.0745926540	0.9554976782	0.7639336316	1.4221613438	0.9183967652	0.8914781404	0.8602664126	1.0301954962	0.9649887907	0.0775730077	0.0053693471	0.0430109507	0.0722036606	0.0376416036	0.0060175715	0.0000288299	0.0018499419	0.0052133686	0.0014168903	0.0078963433	0.0066302589	0.0145266022
6.1136176657	5.1477371003	0.1518396602	1.0821248243	0.0699299043	0.9060169945	0.8041853972	1.4313902618	0.9052693009	0.8911122095	0.8553099203	1.0158869906	0.9598229170	0.0631759738	0.0049587863	0.0372327106	0.0582171875	0.0322739242	0.0039912037	0.0000245896	0.0013862747	0.0033892409	0.0010416062	0.0054020680	0.0044308471	0.0098329151
6.1136176657	5.8831281147	0.1338153385	1.0114298236	0.0659600855	0.8626006371	0.8397348840	1.4392571325	0.8936652208	0.8904955301	0.8501468529	1.0035594683	0.9546896353	0.0502747361	0.0042665134	0.0311779301	0.0460082227	0.0269114166	0.0025275491	0.0000182031	0.0009720633	0.0021167566	0.0007242243	0.0035178155	0.0028409809	0.0063587964
6.1136176657	6.6185191290	0.1193143705	0.9516293340	0.0625264246	0.8240969065	0.8714276042	1.4460681429	0.8831712246	0.8897500084	0.8448702436	0.9926060312	0.9495591297	0.0384625986	0.0034289640	0.0249518851	0.0350336346	0.0215229211	0.0014793715	0.0000117578	0.0006225966	0.0012273556	0.0004632361	0.0021137259	0.0016905917	0.0038043175
6.1136176657	7.3539101433	0.1074099082	0.9002023714	0.0595180988	0.7896441841	0.8999082159	1.4520402536	0.8735115716	0.8889423064	0.8395270103	0.9826414666	0.9444111325	0.0274648813	0.0025207664	0.0186074776	0.0249441150	0.0160867112	0.0007543197	0.0000063543	0.0003462382	0.0006222089	0.0002587823	0.0011069122	0.0008809911	0.0019879033
6.1136176657	8.0893011577	0.0974729244	0.8553748013	0.0568541378	0.7585815524	0.9256788059	1.4573322954	0.8644947217	0.8881098697	0.8341414160	0.9734096547	0.9392322329	0.0170887038	0.0015838927	0.0121717789	0.0155048111	0.0105878862	0.0002920238	0.0000025087	0.0001481522	0.0002403992	0.0001121033	0.0004426847	0.0003525025	0.0007951872
6.1136176657	8.8246921720	0.0890615602	0.8158572200	0.0544737576	0.7303914792	0.9491374737	1.4620637007	0.8559833355	0.8872740729	0.8287263403	0.9647338535	0.9340139260	0.0071944124	0.0006423534	0.0056588198	0.0065520590	0.0050164664	0.0000517596	0.0000004126	0.0000320222	0.0000429295	0.0000251649	0.0000841944	0.0000680944	0.0001522888
6.1136176657	9.5600831863	0.0818563994	0.7806870747	0.0523302823	0.7046616115	0.9706047290	1.4663263131	0.8478764025	0.8864471747	0.8232888924	0.9564883578	0.9287512170	-0.0023216222	-0.0002900347	-0.0009240100	-0.0020315876	-0.0006339753	0.0000053899	0.0000000841	0.0000008538	0.0000041273	0.0000004019	0.0000063278	0.0000045293	0.0000108571
