tau_real	tau_imag	v4_value	u4_value	w4_value	v4_over_u4_value	w4_over_u4_value	v4_log_residual	u4_log_residual	w4_log_residual	v4_over_u4_log_residual	w4_over_u4_log_residual	v4_chi2	u4_chi2	w4_chi2	v4_over_u4_chi2	w4_over_u4_chi2	corr_score	ratio_score	total_score
0.4226666667	0.7060254038	0.8644724668	0.8902504613	0.8319318496	0.9710441099	0.9344919050	-0.0333767252	-0.0039933408	-0.0195064734	-0.0293833845	-0.0155131326	0.0011140058	0.0000159468	0.0003805025	0.0008633833	0.0002406573	0.0015104551	0.0011040406	0.0026144956
0.4226666667	0.7126920705	0.8654258142	0.8903461950	0.8324615577	0.9720104596	0.9349863709	-0.0322745246	-0.0038858109	-0.0188699554	-0.0283887137	-0.0149841445	0.0010416449	0.0000150995	0.0003560752	0.0008059191	0.0002245246	0.0014128197	0.0010304436	0.0024432633
0.4226666667	0.7193587371	0.8663799095	0.8904419394	0.8329926436	0.9729774297	0.9354822664	-0.0311726742	-0.0037782805	-0.0182321884	-0.0273943937	-0.0144539078	0.0009717356	0.0000142754	0.0003324127	0.0007504528	0.0002089155	0.0013184237	0.0009593683	0.0022777920
0.4226666667	0.7260254038	0.8673345442	0.8905376096	0.8335247731	0.9739448787	0.9359793051	-0.0300714147	-0.0036708450	-0.0175935758	-0.0264005696	-0.0139227308	0.0009042900	0.0000134751	0.0003095339	0.0006969901	0.0001938424	0.0012272990	0.0008908325	0.0021181315
0.4226666667	0.7326920705	0.8682895211	0.8906331229	0.8340576266	0.9749126759	0.9364772151	-0.0289709724	-0.0035635973	-0.0169545027	-0.0254073751	-0.0133909054	0.0008393172	0.0000126992	0.0002874552	0.0006455347	0.0001793163	0.0011394716	0.0008248511	0.0019643227
0.4226666667	0.7393587371	0.8692446542	0.8907283989	0.8345908990	0.9758807009	0.9369757381	-0.0278715602	-0.0034566274	-0.0163153358	-0.0244149327	-0.0128587084	0.0007768239	0.0000119483	0.0002661902	0.0005960889	0.0001653464	0.0010549623	0.0007614353	0.0018163976
0.4226666667	0.7460254038	0.8701997680	0.8908233595	0.8351242986	0.9768488429	0.9374746292	-0.0267733775	-0.0033500231	-0.0156764249	-0.0234233544	-0.0123264018	0.0007168137	0.0000112227	0.0002457503	0.0005486535	0.0001519402	0.0009737867	0.0007005937	0.0016743804
0.4226666667	0.7526920705	0.8711546971	0.8909179288	0.8356575470	0.9778170007	0.9379736562	-0.0256766115	-0.0032438693	-0.0150381029	-0.0224327423	-0.0117942336	0.0006592884	0.0000105227	0.0002261445	0.0005032279	0.0001391039	0.0008959556	0.0006423319	0.0015382875
0.4226666667	0.7593587371	0.8721092858	0.8910120332	0.8361903783	0.9787850817	0.9384725987	-0.0245814374	-0.0031382485	-0.0144006869	-0.0214431889	-0.0112624384	0.0006042471	0.0000098486	0.0002073798	0.0004598104	0.0001268425	0.0008214755	0.0005866529	0.0014081283
0.4226666667	0.7660254038	0.8730633877	0.8911056012	0.8367225386	0.9797530018	0.9389712482	-0.0234880190	-0.0030332409	-0.0137644789	-0.0204547781	-0.0107312380	0.0005516870	0.0000092006	0.0001894609	0.0004183979	0.0001151595	0.0007503485	0.0005335574	0.0012839059
