r1	r2	tau_eff_real	tau_eff_imag	beta_c	alpha	beta_angle	gamma	v4_value	u4_value	w4_value	v4_over_u4_value	w4_over_u4_value	v4_log_residual	u4_log_residual	w4_log_residual	v4_over_u4_log_residual	w4_over_u4_log_residual	v4_chi2	u4_chi2	w4_chi2	v4_over_u4_chi2	w4_over_u4_chi2	corr_score	ratio_score	total_score
5.2044129872	4.5103982212	0.1698256482	1.0609301107	0.0796982940	0.9068195993	0.8227025993	1.4120704550	0.9024891357	0.8911053292	0.8537290770	1.0127749281	0.9580563026	0.0601001566	0.0049510652	0.0353827307	0.0551490913	0.0304316655	0.0036120288	0.0000245130	0.0012519376	0.0030414223	0.0009260863	0.0048884795	0.0039675085	0.0088559880
5.2044129872	4.6084503565	0.1665156057	1.0499209898	0.0789703798	0.8998139535	0.8282705524	1.4135081477	0.9006899766	0.8910110190	0.8529461968	1.0108628933	0.9572790669	0.0581046147	0.0048452245	0.0344652976	0.0532593902	0.0296200731	0.0033761462	0.0000234762	0.0011878567	0.0028365626	0.0008773487	0.0045874792	0.0037139114	0.0083013906
5.2044129872	4.7065024917	0.1633203748	1.0392055202	0.0782595117	0.8929444459	0.8337357182	1.4149124895	0.8989214234	0.8909126692	0.8521601446	1.0089893819	0.9565024430	0.0561391306	0.0047348385	0.0335432997	0.0514042921	0.0288084612	0.0031516020	0.0000224187	0.0011251530	0.0026424012	0.0008299274	0.0042991736	0.0034723287	0.0077715023
5.2044129872	4.8045546270	0.1602341882	1.0287709591	0.0775650328	0.8862067051	0.8391011953	1.4162847533	0.8971820452	0.8908106739	0.8513711961	1.0071523293	0.9557263076	0.0542022948	0.0046203479	0.0326170490	0.0495819469	0.0279967012	0.0029378888	0.0000213476	0.0010638719	0.0024583695	0.0007838153	0.0040231083	0.0032421847	0.0072652930
5.2044129872	4.9026067622	0.1572516573	1.0186053246	0.0768863216	0.8795965583	0.8443699512	1.4176261441	0.8954704995	0.8907053919	0.8505795989	1.0053498133	0.9549505444	0.0522927823	0.0045021542	0.0316868255	0.0477906281	0.0271846713	0.0027345351	0.0000202694	0.0010040549	0.0022839441	0.0007390064	0.0037588594	0.0030229505	0.0067818099
5.2044129872	5.0006588975	0.1543677413	1.0086973376	0.0762227895	0.8731100196	0.8495448299	1.4189378041	0.8937855254	0.8905971504	0.8497855749	1.0035800418	0.9541750438	0.0504093463	0.0043806234	0.0307528802	0.0460287229	0.0263722569	0.0025411022	0.0000191899	0.0009457396	0.0021186433	0.0006954959	0.0035060317	0.0028141393	0.0063201710
5.2044129872	5.0987110327	0.1515777199	0.9990363703	0.0755738783	0.8667432791	0.8546285582	1.4202208163	0.8921259370	0.8904862474	0.8489893236	1.0018413418	0.9533997028	0.0485508119	0.0042560891	0.0298154384	0.0442947228	0.0255593493	0.0023571813	0.0000181143	0.0008889604	0.0019620225	0.0006532803	0.0032642560	0.0026153028	0.0058795588
5.2044129872	5.1967631680	0.1488771682	0.9896123985	0.0749390586	0.8604926928	0.8596237521	1.4214762087	0.8904906181	0.8903729555	0.8481910242	1.0001321499	0.9526244244	0.0467160716	0.0041288562	0.0288747022	0.0425872154	0.0247458460	0.0021823913	0.0000170475	0.0008337484	0.0018136709	0.0006123569	0.0030331872	0.0024260278	0.0054592150
5.2044129872	5.2948153032	0.1462619337	0.9804159578	0.0743178278	0.8543547729	0.8645329226	1.4227049581	0.8888785173	0.8902575231	0.8473908376	0.9984510035	0.9518491173	0.0449040796	0.0039992028	0.0279308531	0.0409048768	0.0239316503	0.0020163764	0.0000159936	0.0007801326	0.0016732089	0.0005727239	0.0028125025	0.0022459328	0.0050584354
5.2044129872	5.3928674384	0.1437281160	0.9714381047	0.0737097080	0.8483261795	0.8693584812	1.4239079929	0.8872886427	0.8901401776	0.8465889085	0.9967965327	0.9510736959	0.0431138483	0.0038673834	0.0269840542	0.0392464648	0.0231166708	0.0018588039	0.0000149567	0.0007281392	0.0015402850	0.0005343805	0.0026018997	0.0020746655	0.0046765652
