# Equal-time spatial all-to-all average over all time slices.
# d m n corr err corr_conn err_conn
196 12 -11 2.9326281250000003e-01 9.9924917078301665e-04 2.9326143407724614e-01 9.9926393302009480e-04
197 12 -10 2.7652843750000000e-01 1.0545824189495206e-03 2.7652705907724612e-01 1.0546005117729345e-03
198 12 -9 2.6365875000000000e-01 1.0983840320699541e-03 2.6365737157724611e-01 1.0983961650097118e-03
199 12 -8 2.5452718749999997e-01 1.1315453489025738e-03 2.5452580907724609e-01 1.1315579640375345e-03
200 12 -7 2.4910874999999999e-01 1.1511735402269937e-03 2.4910737157724608e-01 1.1511812554750906e-03
201 12 -6 2.4720031249999999e-01 1.1577359424073336e-03 2.4719893407724608e-01 1.1577432390079527e-03
202 12 -5 2.4907124999999999e-01 1.1510933722308327e-03 2.4906987157724608e-01 1.1511002509555510e-03
203 12 -4 2.5472031249999999e-01 1.1316407206592989e-03 2.5471893407724611e-01 1.1316488905805560e-03
204 12 -3 2.6402031250000002e-01 1.0993819124418488e-03 2.6401893407724614e-01 1.0993922813995745e-03
205 12 -2 2.7674968750000001e-01 1.0551077044391236e-03 2.7674830907724612e-01 1.0551241499218481e-03
206 12 -1 2.9339062500000002e-01 9.9951235913053470e-04 2.9338924657724613e-01 9.9952397979395451e-04
207 12 0 3.1102531249999998e-01 9.4280020608387483e-04 3.1102393407724610e-01 9.4280289432080769e-04
208 13 -15 3.7572968750000002e-01 7.7135837692624844e-04 3.7572830907724614e-01 7.7136450600448459e-04
209 13 -14 3.7560281249999999e-01 7.7152526104823469e-04 3.7560143407724611e-01 7.7152523372364982e-04
210 13 -13 3.5466156250000003e-01 8.2230258971069880e-04 3.5466018407724614e-01 8.2230345355375307e-04
211 13 -12 3.2610062499999998e-01 8.9757924823782983e-04 3.2609924657724609e-01 8.9759281977676839e-04
212 13 -11 2.9937750000000002e-01 9.7587778189048844e-04 2.9937612157724613e-01 9.7590181963236040e-04
213 13 -10 2.7844906250000001e-01 1.0437703166351648e-03 2.7844768407724613e-01 1.0437897411960920e-03
214 13 -9 2.6376062500000003e-01 1.0972578630635038e-03 2.6375924657724614e-01 1.0972677473435138e-03
215 13 -8 2.5424124999999997e-01 1.1381376996957575e-03 2.5423987157724609e-01 1.1381469860265593e-03
216 13 -7 2.4977593749999999e-01 1.1586863992043628e-03 2.4977455907724608e-01 1.1586916130649882e-03
217 13 -6 2.4982812500000001e-01 1.1590929555010622e-03 2.4982674657724610e-01 1.1590988017756046e-03
218 13 -5 2.5442781250000002e-01 1.1375150148725717e-03 2.5442643407724613e-01 1.1375200563331696e-03
219 13 -4 2.6396343750000001e-01 1.0987288282863165e-03 2.6396205907724613e-01 1.0987341254557936e-03
220 13 -3 2.7907406250000000e-01 1.0440291230737636e-03 2.7907268407724611e-01 1.0440390584370031e-03
221 13 -2 2.9929656249999997e-01 9.7583938527680974e-04 2.9929518407724609e-01 9.7584996150213473e-04
222 13 -1 3.2596312500000002e-01 8.9727946158356224e-04 3.2596174657724614e-01 8.9728176524889592e-04
223 13 0 3.5470906250000001e-01 8.2149363209715279e-04 3.5470768407724612e-01 8.2150056407201118e-04
224 14 -15 4.5437312499999999e-01 6.1360431055337925e-04 4.5437174657724611e-01 6.1360000464642556e-04
225 14 -14 4.2789718750000000e-01 6.6269908352927962e-04 4.2789580907724611e-01 6.6270257375011777e-04
226 14 -13 3.7632749999999998e-01 7.6985775686973527e-04 3.7632612157724610e-01 7.6987396331360165e-04
227 14 -12 3.3221812499999998e-01 8.7800860260147111e-04 3.3221674657724609e-01 8.7802501394801575e-04
228 14 -11 2.9956874999999999e-01 9.7461500371621101e-04 2.9956737157724611e-01 9.7462949934400286e-04
229 14 -10 2.7686968750000002e-01 1.0535152037781878e-03 2.7686830907724613e-01 1.0535232797939218e-03
230 14 -9 2.6203937500000002e-01 1.1153688845757207e-03 2.6203799657724614e-01 1.1153771935041204e-03
231 14 -8 2.5393156249999999e-01 1.1564990174746893e-03 2.5393018407724610e-01 1.1565040905342442e-03
232 14 -7 2.5145281250000001e-01 1.1722687978330936e-03 2.5145143407724613e-01 1.1722673857456165e-03
233 14 -6 2.5375093750000000e-01 1.1582297898414511e-03 2.5374955907724611e-01 1.1582347680360579e-03
234 14 -5 2.6217687499999998e-01 1.1157340202719408e-03 2.6217549657724609e-01 1.1157365816794535e-03
235 14 -4 2.7698562500000001e-01 1.0535547960913980e-03 2.7698424657724613e-01 1.0535550917376171e-03
236 14 -3 2.9950718749999999e-01 9.7481979812196406e-04 2.9950580907724611e-01 9.7482546580580226e-04
237 14 -2 3.3186062500000002e-01 8.7940598502181410e-04 3.3185924657724614e-01 8.7940646045168991e-04
238 14 -1 3.7611250000000002e-01 7.6999622868394603e-04 3.7611112157724613e-01 7.6999609452648571e-04
