r1	r2	tau_eff_real	tau_eff_imag	beta_c	alpha	beta_angle	gamma	v4_value	u4_value	w4_value	v4_over_u4_value	w4_over_u4_value	v4_log_residual	u4_log_residual	w4_log_residual	v4_over_u4_log_residual	w4_over_u4_log_residual	v4_chi2	u4_chi2	w4_chi2	v4_over_u4_chi2	w4_over_u4_chi2	corr_score	ratio_score	total_score	v4_chi2_scaled	u4_chi2_scaled	w4_chi2_scaled	v4_over_u4_chi2_scaled	w4_over_u4_chi2_scaled	corr_score_scaled	ratio_score_scaled	total_score_scaled
0.7200000000	1.1333333333	0.4648770377	0.7580919396	0.2900638675	0.9561340438	1.1647456082	1.0207130015	0.8417816251	0.8538101280	0.8343505914	0.9859119698	0.9772085902	-0.0178209939	-0.0036327854	-0.0100999521	-0.0141882085	-0.0064671666	0.0003175878	0.0000131971	0.0001020090	0.0002013053	0.0000418242	0.0004327940	0.0002431295	0.0006759235	629.7676277619	508.1235529999	448.9868343501	489.4156373740	415.4600468284	1586.8780151119	904.8756842024	2491.7536993143
0.7200000000	1.1466666667	0.4615937264	0.7564620855	0.2887761294	0.9522328370	1.1664497937	1.0229100229	0.8412527249	0.8536796964	0.8338580199	0.9854430513	0.9767808974	-0.0184495019	-0.0037855613	-0.0106904916	-0.0146639406	-0.0069049303	0.0003403841	0.0000143305	0.0001142866	0.0002150312	0.0000476781	0.0004690012	0.0002627092	0.0007317104	674.9720372823	551.7602265313	503.0258801748	522.7861909312	473.6087940825	1729.7581439885	996.3949850137	2726.1531290022
0.7200000000	1.1600000000	0.4583493231	0.7548332094	0.2875027826	0.9483711055	1.1681361569	1.0250853912	0.8407242531	0.8535501223	0.8333663726	0.9849735020	0.9763531757	-0.0190778955	-0.0039373558	-0.0112802711	-0.0151405397	-0.0073429153	0.0003639661	0.0000155028	0.0001272445	0.0002292359	0.0000539184	0.0005067134	0.0002831543	0.0007898677	721.7344222012	596.8966703724	560.0593501968	557.3210279702	535.5970728245	1878.6904427704	1092.9181007948	2971.6085435652
0.7200000000	1.1733333333	0.4551431912	0.7532055302	0.2862435655	0.9445482041	1.1698049993	1.0272394501	0.8401962009	0.8534213846	0.8328756089	0.9845033369	0.9759254033	-0.0197061849	-0.0040881934	-0.0118693375	-0.0156179915	-0.0077811441	0.0003883337	0.0000167133	0.0001408812	0.0002439217	0.0000605462	0.0005459282	0.0003044679	0.0008503961	770.0547347394	643.5061460892	620.0803092290	593.0251092380	601.4341451063	2033.6411900575	1194.4592543443	3228.1004444019
0.7200000000	1.1866666667	0.4519747074	0.7515792573	0.2849982232	0.9407635023	1.1714566156	1.0293725356	0.8396685592	0.8532934628	0.8323856901	0.9840325700	0.9754975591	-0.0203343804	-0.0042380975	-0.0124577363	-0.0160962828	-0.0082196388	0.0004134870	0.0000179615	0.0001551952	0.0002590903	0.0000675625	0.0005866437	0.0003266528	0.0009132965	819.9330178808	691.5629578659	683.0826372482	629.9033369622	671.1299578301	2194.5786129949	1301.0332947923	3495.6119077871
0.7200000000	1.2000000000	0.4488432605	0.7499545907	0.2837665071	0.9370163837	1.1730912935	1.0314849764	0.8391413192	0.8531663374	0.8318965785	0.9835612148	0.9750696225	-0.0209624919	-0.0043870907	-0.0130455112	-0.0165754013	-0.0086584205	0.0004394261	0.0000192466	0.0001701854	0.0002747439	0.0000749682	0.0006288580	0.0003497122	0.0009785702	871.3694036665	741.0423949351	749.0609925946	667.9605603250	744.6951191730	2361.4727911961	1412.6556794980	3774.1284706942
0.7200000000	1.2133333333	0.4457482521	0.7483317220	0.2825481748	0.9333062454	1.1747093141	1.0335770941	0.8386144724	0.8530399895	0.8314082377	0.9830892840	0.9746415736	-0.0215905295	-0.0045351946	-0.0136327046	-0.0170553349	-0.0090975100	0.0004661510	0.0000205680	0.0001858506	0.0002908844	0.0000827647	0.0006725696	0.0003736491	0.0010462187	924.3641115219	791.9206775350	818.0107769775	707.2015806098	822.1408758442	2534.2955660344	1529.3424564540	4063.6380224884
0.7200000000	1.2266666667	0.4426890957	0.7467108340	0.2813429900	0.9296324982	1.1763109520	1.0356492034	0.8380880103	0.8529144009	0.8309206327	0.9826167894	0.9742133933	-0.0222185028	-0.0046824301	-0.0142193574	-0.0175360727	-0.0095369273	0.0004936619	0.0000219252	0.0002021901	0.0003075138	0.0000909530	0.0007177771	0.0003984668	0.0011162440	978.9174466182	844.1749061599	889.9281021874	747.6311560380	903.4790911405	2713.0204549655	1651.1102471786	4364.1307021441
0.7200000000	1.2400000000	0.4396652164	0.7450921015	0.2801507219	0.9259945654	1.1778964757	1.0377016125	0.8375619244	0.8527895543	0.8304337297	0.9821437425	0.9737850628	-0.0228464213	-0.0048288173	-0.0148055094	-0.0180176040	-0.0099766921	0.0005219590	0.0000233175	0.0002192031	0.0003246341	0.0000995344	0.0007644796	0.0004241684	0.0011886480	1035.0297982628	897.7830138895	964.8097584209	789.2540063125	988.7222237692	2897.6225705731	1777.9762300817	4675.5988006549
0.7200000000	1.2533333333	0.4366760510	0.7434756917	0.2789711454	0.9223918834	1.1794661474	1.0397346228	0.8370362067	0.8526654328	0.8299474958	0.9816701540	0.9733565640	-0.0234742947	-0.0049743756	-0.0153911988	-0.0184999191	-0.0104168232	0.0005510425	0.0000247444	0.0002368890	0.0003422470	0.0001085102	0.0008126759	0.0004507572	0.0012634331	1092.7016383198	952.7237215961	1042.6531841307	832.0748168816	1077.8833074085	3088.0785440466	1909.9581242901	4998.0366683367
